hd-no.,transcription,region,country,ancient find spot,modern find spot,type of monument,type of inscription,material,lat,long,period from,period to,from_num,to_num
HD001576,Germanos Maurosque domas sub Marte Britannos / Antonine tua diceris arte Pius,Roma,Italy,Roma,Roma,Unknown,honorific inscription,Unknown,41.895466,12.482324,138 AD , 161 AD,138.0,161.0
HD001635,Hercule(!) / p(ondo) XXX/II / i(mpensa) s(ua) / v(otum) s(olvit) l(ibens) m(erito) / C(aius) Calvenus / C(ai) l(ibertus) Callippus / Nerone Claudio / Caesar(e) Aug(usto) IIII / Cosso Lentu&lt;l=I&gt;o co(n)s(ulibus) ,Roma,Italy,Roma,Roma,statue base,votive inscription,Stone,41.895466,12.482324,60 AD,Unknown,60.0,130.5
HD001910,M(arcus) Cespius M(arci) f(ilius) Optatus v(ivus) f(ecit) / aviae sorori patri,Venetia et Histria ,Italy,Opitergium,Oderzo,stele,epitaph,Unknown,45.781153,12.493706,1 AD , 100 AD,1.0,100.0
HD001969,Pardo / Lucifera filio merenti / qui bixit(!) an(n)is cinque(!),Venetia et Histria ,Italy,Aquileia,Aquileia,tabula,epitaph,Stone,45.768169099,13.368719899,301 AD , 500 AD,301.0,500.0
HD002081,Imp(eratori) Caesari / [[M(arco) Aurel(io) Carino]] / Pio Fel(ici) [Invict(o) Aug(usto) p(ontifici) m(aximo) trib(unicia)] / [pot(estate) co(n)s(uli) p(atri) p(atriae) F(oro)cl(audienses)] / [Ceutrones publice] / [curante Latinio Marti]/[niano v(iro) e(gregio) proc(uratore) Aug(usti)],Alpes Graiae,France,Axima Forum Claudii Ceutronum,Aime-en-Tarentaise,statue base,honorific inscription,Stone,45.555982,6.6521259999,283 AD,Unknown,283.0,400.0
HD002094,[------] / [Kr?]ystallus alumnus / Postumi praef(ecti) class(is) / apud fluent[u]m I[b]e[r]ic(um) / Romanus infans editus / alumnus castris Mart[iis] / Hibera postquam vider[it] / et Maura longe moenia / [n]acta quiescit Moesica / primaeve pubis indigus / ut verna florum germin[a] / vento feruntur Thracico / Achelous alumnus / Postumi praef(ecti) c(lassis) / extima Cappadocum Ponti / qua(e) iungitur orae me genuit / tellus moenia sunt Tyan[ae] / Hermogenes genitor nom[en] / [mihi erat] Acheloo artibus / [excellens pra]editus ingen(io) / [insignis mea f]orma homine[s] / [mea funera acerba] iam gemitu / [plangunt iam lacrimis opus est],Moesia inferior,Romania,Noviodunum,Isaccea,tabula,epitaph,Unknown,45.27083,28.49111,201 AD , 300 AD,201.0,300.0
HD002097,[Î]á½ÏÎ¿ÎºÏá½±ÏÎ¿ÏÎ¹ / [Î]Î±á½·ÏÎ±ÏÎ¹ / [[[---]]] / [Î]á½ÏÎµÎ²Îµá¿ Îá½ÏÏÏÎµ[Î¹] / Î£ÎµÎ²Î±ÏÏá¿¶Î¹ / [á¼]Î¾ á¼ÏÏÎµÏÏ / Ï // [---] / [Î£]Îµ[Î²Î± ]/ÏÏÎ¿á¿Ï ÎÎ±Î»Î»[ÎµÎ½]/ÏÎ¹Î½Î¹Î±Î½á¿¶ / ÎºÎ±á½¶ ÎÎ±Î»á½³Î½/ÏÎ¹ // Dd(omini) nn(ostri) / Arcadiu[s] / [e]t Honor[ius] / sub v(iro) c(larissimo) / [e]t specta[b(ili)] / proc(onsule) / Eusebio / Ï,Achaia,Greece,Athenae,Patrasso - AthÃ­nai,milestone,milestone,Stone,38.012978,23.635883,395 AD , 397 AD,395.0,397.0
HD002287,------] / vex(illatio)(?) l[eg(ionum)] / I Ital(icae) et / II Herc(uliae) / posuit,Regnum Bospori,Ukraine,Chersonesus Taurica,Kherson,block,votive inscription,Stone,44.6109122,33.4922867,284 AD , 350 AD,284.0,350.0
HD002290,------] / [--- vi]x(it) ann(os) / LV mil(itavit) / ann(os) XX Auluz[e]/nus o[pt(io)] / cl(assis) eiu[sd(em)] / here[s f(ecit)],Regnum Bospori,Ukraine,Chersonesus Taurica,Kherson,tabula,epitaph,Unknown,44.6109122,33.4922867,101 AD , 200 AD,101.0,200.0
HD002299,Dis [Manibus] / Sextil[ius ---] / vix(it) an[nos ---] / Kapi[to ---],Regnum Bospori,Ukraine,Chersonesus Taurica,Kherson,tabula,epitaph,Stone,44.6109122,33.4922867,201 AD , 300 AD,201.0,300.0
HD002302,------ legio? II] Hercu[lia? ---] / [---] ead(em)que [---] / [---]ATE(?) sua [------,Regnum Bospori,Ukraine,Chersonesus Taurica,Kherson,tabula,Unknown,Stone,44.6109122,33.4922867,284 AD , 350 AD,284.0,350.0
HD002305,------ fru]/menta[rius] / leg(ionis) X ge[m(inae) p(iae) f(idelis) a]/gens cu[ram] / custod[ia]/rum v[------,Asia,Turkey,Sardis,Sart,block,epitaph,Stone,38.5,28.05,101 AD , 250 AD,101.0,250.0
HD002435,------] / [m]atri / [---]is f[ilius ?---],Alpes Maritimae,France,Glanate,Entrevaux,tabula,epitaph,Stone,43.947071,6.8416849999,1 AD , 100 AD,1.0,100.0
HD002438,Blaesio Ni/ponni f(ilio) / equit[i] c(o)ho(rtis) / |(centuria) Alpinae,Alpes Maritimae,France,Vintium,GrÃ©oliÃ¨res,stele,epitaph,Stone,43.795293,6.981211,1 AD , 100 AD,1.0,100.0
HD002533,Salvi[s dd(ominis) nn(ostris) Invictis] / Augg(ustis) D[iocletiano? et] / Max[imiano? ---] / vixil[latio! ------ // ------]onie [---] / [---] Pater[nus? ------ // ------]S(---) P[---] / [---]nis le/[g(iones) --- I] Ital(ica) et / [--- II He]rculia [------,Regnum Bospori,Ukraine,Chersonesus Taurica,Kherson,tabula,votive inscription,Stone,44.6109122,33.4922867,285 AD , 305 AD,285.0,305.0
HD002695,Siste gradum quaeso sine te levet umbra tenacem / hospes iter durum est quid teris usque viae / audi pauca moram facient mea dicta labores(!) / sed memor haec imo pectore conde tuo / crudeles divi Sthygias(!) quicumque paludis(!) / incolitis nulli qua datur ire retro / quid vos inmatura iuvat quae vestra futurast / post modo consumpto tempore turba tuo / fletibus adsiduis luget maestissima mater / [quae p]rior [occidere quam Naiamira dari eigni!] / [debuit ut superi pia fata t]ulissent / [et pater hoc titulo debui]t ante legi / [his ergo mea dicta refer de]sistat humatam / [ulterius lachrumis! sollic]itasse suis / [sum defleta satis finem dece]t esse dolori / [quid semel] occubui nul[la quer]ella iuvat,Samnium ,Italy,Interpromium,Chieti,block,epitaph,Stone,42.35,14.1667,1 AD , 300 AD,1.0,300.0
HD002734,[Triumphato]rib[u]s f[o]rti[ssi]/[mis ac glorio]sissimis princip[i]/[bus Valentini]ano victorios[is]/[simo d(omino) n(ostro) et Va]lentem(!) fratre[m](!) / [eius d(omino) n(ostro) ---] maxim(o) et Grati[a]/[no --- d(omino)] n(ostro) nepoti Valenti[s] / [semper Augustis] Dom(itius) M[o]destus vir / [clarissimus praef]ectus pr(a)etorio / [et ---] vi[r] clar(i)ssimus co/[mes et magister n]umini magistatique(!) / [eorum devoti ---]xante disponent[e] / [---]m decemprimo / [praeposito ---]n[---]orum S(---) T(---) V(---) bal/[listariorum per ---]m v(irum) p(erfectissimum) pat(ronum)(?) removi[t] / [et ------,Regnum Bospori,Ukraine,Chersonesus Taurica,Kherson,block,votive inscription,Stone,44.6109122,33.4922867,367 AD , 375 AD,367.0,375.0
HD002757,In n(omine) d(omi)ni D(e)i / n(ostr)i Chr(ist)i l(ocu)m(?) / salinarum / pertinen[tes] / fecerunt,Sardinia,Italy,Carales,Cagliari,block,epitaph,Stone,39.214886,9.109522,401 AD , 600 AD,401.0,600.0
HD002784,Impp(eratores) Caess(ares) C(aius) Val(erius) Aur(elius) Diocletianus / [[et M(arcus) Aur(elius) Val(erius) Maximianus]] PP(ii) FF(elices) / Invicti Augg(usti) et Fl(avius) Val(erius) Constantius / et Galerius Val(erius) Maximianus / nobilissimi Caesares Germanici / maximi Sarmatici maximi pro/futurum in aeternum rei publicae / praesidium constituerunt,Moesia superior,Serbia,Unknown,Kladovo,tabula,building/dedicatory inscription,Stone,44.615354226,22.586563467,299 AD , 300 AD,299.0,300.0
HD002796,D(omino) n(ostro) Imp(eratori) Val(erio) Licinniano(!) / Licinni(o)(!) P(io) F(elici) inv(icto) Aug(usto) / Val(erius) Cassianus v(ir) p(erfectissimus) praeses / pr(o)v(inciae) [Epiri] veter(is) // Nobilissimo pri[ncipi] / iuventutis Constantio Cae/sari co(n)s{s}(uli) designato Iulius / Lepidus v(ir) p(erfectissimus) praeses prov(inciae) Epiri / numini eius dicatissimus,Epirus,Albania,Unknown,PalokastÃ«r,tabula,honorific inscription,Stone,40.163857568,20.097484703,293 AD , 313 AD,293.0,313.0
HD002800,D(is) {O} M(anibus) / bene mere(n)ti / (A)emili(a)e Marc(e)l/(la)e {F} alu(mnae) Novici,Liguria ,Italy,Albintimilium,Ventimiglia,tabula,epitaph,Stone,43.7833,7.6,101 AD , 200 AD,101.0,200.0
HD002833,Statoria M(arci) f(ilia) Quarta // C(aius) Statorius / Sippo Manil(ia) / M(ani) f(ilia) Tertulla / Statoriae C(ai) f(iliae) / Appiae an(norum) XXII / C(aio) Statorio Procu/lo f(ilio) ann(orum) XXV,Liguria ,Italy,Albintimilium,Ventimiglia,tabula,epitaph,Stone,43.7833,7.6,1 AD , 200 AD,1.0,200.0
HD002853,Ara(m) / Iovi / Co(ho)rtali s(acrum) / PP(?)OO Lupus / tribunus,Dacia,Romania,Drobeta,Drobeta - Turnu Severin,altar,votive inscription,Unknown,44.62504768,22.668129067,251 AD , 300 AD,251.0,300.0
HD002917,L(ucius) Aquilius / Secundus / L(ucio) Aquilio / Charitoni / et Publiciae / Veneriae pa/rentib(us) pient(issimis) / libert(is) liber/tab(usque),Venetia et Histria ,Italy,Verona,Villafranca di Verona,altar,epitaph,Stone,45.355254599,10.8474267,1 AD , 200 AD,1.0,200.0
HD002919,------ nave]s hostium depresse[rit ---] / [---] CXIIX bello maritu[mo ---] / [---]uma ad imperium a[diecerit ---] / [---] secundum pont[em ---] / [---] quei(!) est ad flum[en ---] / [---] marit[------,Achaia,Greece,Athenae,AthÃ­nai,base,elogium,Unknown,37.983175,23.716647,38 BC , 12 BC,-38.0,-12.0
HD002922,[I]mp(eratori) Caes(ari) divi Traiani Par/thici fil(io) divi Nervae nepo/ti Traiano Hadriano Aug(usto) / [p(ontifici)] m(aximo) tr(ibunicia) pot(estate) XVI co(n)s(uli) III p(atri) p(atriae) / Olympio / colonia Iulia Augusta / Diensium per legatum / G(aium) Memmium Lycum / ÎÎ¹ÎµÏÏá¿¶Î½,Achaia,Greece,Athenae,AthÃ­nai,statue base,honorific inscription,Unknown,37.983175,23.716647,132 AD,Unknown,132.0,19.5
HD002925,[Imp(eratori) Caesari divi Traiani] / [Parthici f(ilio) divi Nervae nep(oti)] / [Traiano Ha]d[riano Aug(usto) p(ontifici) m(aximo)] / [t]r(ibunicia) p(otestate) XVI co(n)s(uli) III p(atri) p(atriae) [Olympio] / [C]aesarea Antio[chia ob multa] / [be]neficia quae [viritim quae] / [publice praestitit coloniae] / [per legat------,Achaia,Greece,Athenae,AthÃ­nai,statue base,honorific inscription,Stone,37.983175,23.716647,132 AD,Unknown,132.0,51.0
HD002928,------ colonia Iulia] Philip[pensium] / [per le]g(atos) Afr[anium? ---] / [et ---]ium Grat[ianum? ------,Achaia,Greece,Athenae,AthÃ­nai,statue base,honorific inscription,Unknown,37.983175,23.716647,132 AD,Unknown,132.0,82.5
HD002986,C(aius) Plinius L(uci) f(ilius) Ouf(entina) Caecilius [Secundus co(n)s(ul)] / augur legat(us) pro pr(aetore) provinciae Pon[ti et Bithyniae pro]/consulari potesta[te] in eam provinciam e[x senatus consulto ab] / Imp(eratore) Caesar(e) Nerva Traiano Aug(usto) German[ico Dacico p(atre) p(atriae) missus] / curator alvei Tiberis et riparum et [cloacarum urbis] / praef(ectus) aerari Saturni praef(ectus) aerari mil[itaris pr(aetor) trib(unus) plebis] / quaestor imp(eratoris) sevir equitum [Romanor(um) turmae ---] / trib(unus) milit(um) leg(ionis) [III] Gallica[e in provincia Syria Xvir stli]/tib(us) iudicand(is) therm[as ---] adiectis in / ornatum HS CCC(trecentis milibus nummum) [--- et eo amp]lius in tutela[m] / HS CC(ducentis milibus nummum) t(estamento) f(ieri) i(ussit) [item in alimenta] libertor(um) suorum homin(um) C / HS CCCCCCCCCCCCCCCCCCMMMMMMMMMMMMMMMMMMCCCCCCXXXXXXVI (decies octies centena milia et sexaginta sex milia cum sescentis sexaginta sex nummum) rei [p(ublicae) legavit quorum inc]rement(a) postea ad epulum / [p]leb(is) urban(ae) voluit pertin[ere --- vivu?]s dedit in aliment(a) pueror(um) / et puellar(um) pleb(is) urban(ae) HS [D(quinquaginta milia) --- et] in tutelam bybliothe/cae HS C(centena milia),Transpadana ,Italy,Comum,Milano,tabula,elogium,Stone,45.463671,9.188126,111 AD , 114 AD,111.0,114.0
HD003058,[L(ucio)? Baebi]o L(uci) f(ilio) Gal(eria) Hispano [---?] / [---] Pompeio Marcell[---] / [---] Antonio Siloni [---] / [---] Pauli[no ---] / [------,Hispania citerior,Spain,Saguntum,Sagunto,tabula,honorific inscription,Stone,39.68333,-0.26667,71 AD , 130 AD,71.0,130.0
HD003087,T(ito) Arruntio T(iti) f(ilio) / [------,Transpadana ,Italy,Vercellae,Vercelli,stele,epitaph,Stone,45.321111,8.426236,1 AD , 200 AD,1.0,200.0
HD003090,Hic requiescit in pace / b(onae) m(emoriae) Candidianus / p(res)b(yte)r qui vixit in s(a)e/colum(!) annus(!) pl(us) m(inus) XL / et in presbiteratum(!) / habuit annus(!) XI,Transpadana ,Italy,Vercellae,Valstrona,tabula,epitaph,Stone,45.321094,8.4263739999,401 AD , 600 AD,401.0,600.0
HD003093,------]ir decu[rio ---] / [VIvir] Au[g]ustali[s ---] / [---]tius L(uci) f(ilius) Po[l(lia) ---] / [---]r IIvir qu[inq(uennalis) ---] / [---]IS V I(?) [------,Transpadana ,Italy,Vercellae,Zubiena,tabula,honorific inscription,Stone,45.321094,8.4263739999,1 AD , 200 AD,1.0,200.0
HD003160,[-]OSI[--]III[---] / Andetius Cra[ssi? f(ilius)] / avo @(obito) M(arcus) Pileiu[s - f(ilius)] / tr(ibunus) pl(ebis),Venetia et Histria ,Italy,Iulia Concordia,Concordia Sagittaria,tabula,epitaph,Unknown,45.7572285,12.842294,50 BC , 14 AD,-50.0,14.0
HD003163,Aimil[ia ---] / Fab(ia) Pau[l---],Hispania citerior,Spain,Saguntum,Sagunto,block,epitaph,Unknown,39.68333,-0.26667,30 BC , 37 AD,-30.0,37.0
HD003166,[- Fa]bius L(uci) f(ilius) / [Gal(eria)] Nepos,Hispania citerior,Spain,Saguntum,Sagunto,tabula,epitaph,Unknown,39.68333,-0.26667,30 BC , 68 AD,-30.0,68.0
HD003221,Dis / Manibus / Firmia Aste,Venetia et Histria ,Italy,Verona,Verona,altar,epitaph,Unknown,45.439999999,10.988889,51 AD , 100 AD,51.0,100.0
HD003235,Fabia V[--- an(norum)] / XXVI[---] / L(ucius) Iulius [---],Hispania citerior,Spain,Saguntum,Sagunto,block,epitaph,Unknown,39.68333,-0.26667,31 BC , 68 AD,-31.0,68.0
HD003269,[L(ucio) Do]mitio Cn(aei) f(ilio) Ahenob(arbo) / pontif(ici) co(n)s(uli) / d(ecreto) d(ecurionum) patron(o) colonei,Epirus,Albania,Buthrotum,Ksamil,tabula,honorific inscription,Stone,39.7511,20.0261,16 BC , 25 AD,-16.0,25.0
HD003283,C(aio) Caudio C(ai) f(ilio) / Pol(lia) / Chryserosi / e(x) t(estamento),Alpes Maritimae,France,Cemenelum,Nice,stele,epitaph,Stone,43.720499679,7.2801631431,1 AD , 100 AD,1.0,100.0
HD003286,Epicado Scenutis / f(ilio) Veloci Dalmat(ae) / mil(iti) coh(ortis) Lig(urum) |(centuria) Maelini / h(eres) ex t(estamento),Alpes Maritimae,France,Cemenelum,Nice,stele,epitaph,Stone,43.720499679,7.2801631431,69 AD , 96 AD,69.0,96.0
HD003289,T(itus) Iventius / Sevatus / miles c(o)ho(rtis) / Gaet(ulorum) |(centuria) Gall(i) / h(eres) ex t(estamento) // L(ucius) Abricius / Ulato vi(vus) f(ecit) / miles c(o)ho(rtis) / Gaet(ulorum) |(centuria) Gall(i),Alpes Maritimae,France,Cemenelum,Nice,stele,epitaph,Stone,43.721191078,7.2805077384,27 BC , 54 AD,-27.0,54.0
HD003295,[- Ca]ecili/[us Eu]tichus / an(norum) XL / [B?]abullia Suc/cessa v(iva) f(ecit),Hispania citerior,Spain,Saguntum,Sagunto,tabula,epitaph,Unknown,39.68333,-0.26667,71 AD , 130 AD,71.0,130.0
HD003334,------] Autro[ni---] / [---] Pomp[---] / [---] Q(uint--) Pompo[ni---],Samnium ,Italy,Nursia,Norcia,block,epitaph,Unknown,42.794241,13.096426,70 BC , 31 BC,-70.0,-31.0
HD003337,------] Helen[---] / [---] M(ani--) Pacc[i------,Samnium ,Italy,Nursia,Norcia,block,epitaph,Unknown,42.794241,13.096426,70 BC , 31 BC,-70.0,-31.0
HD003340,Ca(io) Caesio / T(iti) f(ilio),Samnium ,Italy,Nursia,PatÃ¬no,stele,epitaph,Unknown,42.794246,13.096435,70 BC , 31 BC,-70.0,-31.0
HD003343,[Iuv]entiai L(uci) f(iliae) [---](?),Samnium ,Italy,Nursia,Norcia,block,epitaph,Unknown,42.794241,13.096426,70 BC , 31 BC,-70.0,-31.0
HD003346,------] / [---] l(ibert--) Bar[---] / [---] l(iberta) Martha [---] / [---]nia Sp(uri) f(ilia) Prim[---],Samnium ,Italy,Nursia,Norcia,block,epitaph,Unknown,42.794241,13.096426,1 AD , 100 AD,1.0,100.0
